"","x"
"1",1
"2",1
"3",1
"4",1
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",1
"12",1
"13",1
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",0
"28",1
"29",1
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",1
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",1
"61",1
"62",1
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",0
"101",0
"102",0
"103",0
"104",0
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",0
"113",0
"114",0
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",0
"130",0
"131",1
"132",1
"133",1
"134",0
"135",0
"136",0
"137",0
"138",0
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",0
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",0
"178",1
"179",1
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",1
"192",1
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",1
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",1
"264",0
"265",1
"266",1
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",1
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",1
"320",1
"321",1
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",0
"334",0
"335",1
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",0
"359",1
"360",1
"361",1
"362",1
"363",1
"364",1
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",0
"379",0
"380",0
"381",1
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",1
"419",1
"420",1
"421",1
"422",1
"423",1
"424",1
"425",1
"426",1
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",1
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",1
"447",1
"448",1
"449",1
"450",1
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",0
"475",0
"476",0
"477",1
"478",1
"479",1
"480",1
"481",1
