"","x"
"1",0
"2",0
"3",1
"4",1
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",1
"12",1
"13",0
"14",0
"15",1
"16",0
"17",0
"18",0
"19",0
"20",0
"21",1
"22",1
"23",1
"24",1
"25",0
"26",0
"27",1
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1
"35",0
"36",1
"37",1
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",1
"52",1
"53",0
"54",1
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",1
"63",0
"64",0
"65",1
"66",0
"67",1
"68",0
"69",0
"70",0
"71",0
"72",1
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",1
"81",1
"82",0
"83",0
"84",0
"85",1
"86",1
"87",0
"88",1
"89",1
"90",1
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",1
"100",1
"101",0
"102",0
"103",0
"104",1
"105",0
"106",0
"107",0
"108",0
"109",0
"110",1
"111",1
"112",0
"113",0
"114",0
"115",0
"116",1
"117",0
"118",0
"119",0
"120",1
"121",1
"122",0
"123",0
"124",0
"125",1
"126",1
"127",0
"128",1
"129",1
"130",0
"131",0
"132",0
"133",0
"134",0
"135",1
"136",1
"137",1
"138",0
"139",1
"140",0
"141",1
"142",1
"143",1
"144",0
"145",1
"146",0
"147",1
"148",0
"149",0
"150",1
"151",0
"152",1
"153",1
"154",0
"155",0
"156",0
"157",0
"158",1
"159",1
"160",0
"161",0
"162",0
"163",0
"164",1
"165",1
"166",0
"167",0
"168",0
"169",1
"170",0
"171",0
"172",1
"173",1
"174",1
"175",1
"176",0
"177",0
"178",1
"179",1
"180",1
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",1
"188",1
"189",1
"190",1
"191",0
"192",0
"193",0
"194",1
"195",1
"196",0
"197",0
"198",1
"199",0
"200",0
"201",1
"202",1
"203",0
"204",1
"205",0
"206",0
"207",1
"208",1
"209",0
"210",1
"211",0
"212",0
"213",1
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",1
"222",1
"223",0
"224",1
